model,accuracy,f1_score,train_time,pred_time,n_features,n_components
kNN_PCA_k=3,0.8568738229755178,0.8567425752962893,4.0531158447265625e-06,45.39413094520569,2,2
kNN_PCA_k=5,0.8497502661098829,0.849529956532766,9.5367431640625e-07,52.04258489608765,2,2
kNN_PCA_k=7,0.8441005485957587,0.8438977325092434,5.0067901611328125e-06,66.31319904327393,2,2
kNN_PCA_k=3,0.9955784819454679,0.9955787222598022,7.152557373046875e-07,73.72332119941711,5,5
kNN_PCA_k=5,0.9935314828461476,0.9935322404932909,5.0067901611328125e-06,61.50025701522827,5,5
kNN_PCA_k=7,0.9918120036027184,0.9918121524001701,4.0531158447265625e-06,65.78392505645752,5,5
kNN_PCA_k=3,0.9995087202161631,0.9995087469177558,3.1948089599609375e-05,78.29314398765564,10,10
kNN_PCA_k=5,0.9995087202161631,0.9995087469177558,6.9141387939453125e-06,83.41226506233215,10,10
kNN_PCA_k=7,0.9988536805043806,0.9988537428080969,2.1457672119140625e-06,84.5057737827301,10,10
kNN_PCA_k=3,1.0,1.0,1.1920928955078125e-05,55.13476371765137,20,20
kNN_PCA_k=5,1.0,1.0,9.5367431640625e-07,58.376805782318115,20,20
kNN_PCA_k=7,0.9999181200360272,0.9999181207805836,0.0,56.23233890533447,20,20
kNN_PCA_k=3,1.0,1.0,9.5367431640625e-07,89.45370507240295,50,50
kNN_PCA_k=5,1.0,1.0,9.5367431640625e-07,65.22836780548096,50,50
kNN_PCA_k=7,0.9999181200360272,0.9999181207805836,9.5367431640625e-07,66.38213896751404,50,50
